freq (Hz)	real	complex
0.000000E+0	3.738160E-3	0.000000E+0
1.000000E+0	2.036178E-2	-5.504898E-3
2.000000E+0	1.018128E-2	1.082422E-2
3.000000E+0	1.034242E-2	-6.961727E-4
4.000000E+0	2.521477E-2	1.225041E-2
5.000000E+0	4.774400E-2	3.010569E-2
6.000000E+0	6.287474E-2	-8.479044E-2
7.000000E+0	-2.421856E-2	-1.249484E-2
8.000000E+0	-4.149786E-3	-3.443231E-2
9.000000E+0	1.014540E-2	4.132329E-3
1.000000E+1	-1.416232E-2	-1.296755E-2
1.100000E+1	1.617071E-2	-1.310710E-2
1.200000E+1	-5.260187E-3	8.091169E-3
1.300000E+1	2.803107E-3	-1.967125E-2
1.400000E+1	1.562642E-2	7.272429E-3
1.500000E+1	-6.986278E-3	-7.543959E-3
1.600000E+1	2.140313E-2	-1.363767E-2
1.700000E+1	-1.144122E-3	6.001679E-3
1.800000E+1	2.886192E-3	-2.249381E-2
1.900000E+1	1.622983E-2	5.213167E-3
2.000000E+1	-1.435461E-2	-8.764123E-3
2.100000E+1	2.011557E-2	-4.607600E-3
2.200000E+1	7.485794E-4	1.510116E-2
2.300000E+1	1.390107E-2	-1.483591E-2
2.400000E+1	2.943768E-2	1.265195E-2
2.500000E+1	9.203278E-3	-1.114675E-2
2.600000E+1	4.284752E-2	-1.525009E-2
2.700000E+1	2.333851E-2	-9.033888E-3
2.800000E+1	2.716638E-2	-5.606619E-2
2.900000E+1	8.479372E-3	-2.804807E-2
3.000000E+1	-8.965594E-3	-2.427236E-2
3.100000E+1	4.245481E-2	-3.176375E-2
3.200000E+1	1.091682E-2	-7.850667E-2
3.300000E+1	-7.613844E-2	-6.916628E-2
3.400000E+1	-1.778160E-2	3.956279E-3
3.500000E+1	-5.237695E-2	-1.185570E-2
3.600000E+1	-3.303336E-3	-1.626316E-2
3.700000E+1	-3.148819E-2	1.626854E-2
3.800000E+1	-2.197348E-2	-2.381320E-2
3.900000E+1	6.325278E-4	1.697012E-2
4.000000E+1	-3.670081E-2	-2.102971E-3
