freq (Hz)	real	complex
0.000000E+0	-3.393702E-2	0.000000E+0
1.000000E+0	-3.340632E-2	4.523439E-4
2.000000E+0	-4.155912E-2	7.491737E-3
3.000000E+0	-2.224969E-2	9.211804E-3
4.000000E+0	-2.518946E-2	1.996005E-2
5.000000E+0	-9.250347E-3	-3.980938E-2
6.000000E+0	-8.202469E-2	3.584077E-2
7.000000E+0	1.119708E-2	1.318650E-2
8.000000E+0	-2.835061E-2	9.994873E-3
9.000000E+0	-1.590812E-2	-9.641361E-4
1.000000E+1	-1.123371E-2	4.498796E-3
1.100000E+1	-2.554224E-2	-2.290085E-3
1.200000E+1	-1.099780E-2	-4.906935E-3
1.300000E+1	-2.090527E-2	6.108852E-4
1.400000E+1	-1.774741E-2	-1.248141E-2
1.500000E+1	-1.404642E-2	-5.625865E-3
1.600000E+1	-2.542152E-2	-1.516398E-2
1.700000E+1	-1.948426E-2	-1.558325E-2
1.800000E+1	-2.781367E-2	-8.871836E-3
1.900000E+1	-2.053635E-2	-2.020114E-2
2.000000E+1	-3.213860E-2	-2.481080E-2
2.100000E+1	-4.645154E-2	-5.926552E-3
2.200000E+1	-2.577300E-2	-5.924229E-3
2.300000E+1	-2.215456E-2	6.566526E-5
2.400000E+1	-1.671663E-2	-1.829172E-2
2.500000E+1	-1.161895E-2	-1.914996E-2
2.600000E+1	-2.185813E-2	-2.440304E-2
2.700000E+1	-5.369640E-3	-3.028473E-2
2.800000E+1	6.751070E-3	-3.353240E-2
2.900000E+1	2.569416E-2	-8.700412E-2
3.000000E+1	3.600468E-2	-1.688057E-1
3.100000E+1	-1.869497E-1	-3.139105E-1
3.200000E+1	-3.658256E-1	1.199895E-2
3.300000E+1	-1.241204E-1	7.713968E-2
3.400000E+1	-1.420349E-1	5.339432E-2
3.500000E+1	-8.371772E-2	2.659895E-2
3.600000E+1	-1.017580E-1	4.922955E-2
3.700000E+1	-9.300999E-2	1.222254E-2
3.800000E+1	-7.484138E-2	4.355204E-2
3.900000E+1	-1.011531E-1	2.326297E-2
4.000000E+1	-6.144078E-2	1.984703E-2
4.100000E+1	-9.405071E-2	3.954809E-2
4.200000E+1	-7.759468E-2	-1.535000E-4
4.300000E+1	-7.151821E-2	3.908306E-2
4.400000E+1	-1.088409E-1	7.847676E-3
4.500000E+1	-5.904851E-2	1.678730E-2
4.600000E+1	-1.125581E-1	3.849893E-2
4.700000E+1	-8.177684E-2	-1.264601E-2
4.800000E+1	-8.245208E-2	5.123736E-2
4.900000E+1	-1.302920E-1	-8.967343E-3
5.000000E+1	-5.842395E-2	1.506948E-2
5.100000E+1	-1.552106E-1	3.870120E-2
5.200000E+1	-9.557322E-2	-4.507285E-2
5.300000E+1	-1.170861E-1	7.554687E-2
5.400000E+1	-2.049592E-1	-5.749903E-2
5.500000E+1	-6.226580E-2	1.600432E-2
5.600000E+1	-3.199834E-1	4.136123E-2
5.700000E+1	-1.473285E-1	-1.837862E-1
5.800000E+1	-3.339264E-1	2.307339E-1
5.900000E+1	-9.924991E-1	-6.298721E-1
6.000000E+1	-8.160211E-1	2.239329E+0
6.100000E+1	1.175208E+0	6.584671E-2
6.200000E+1	2.316203E-2	3.937473E-1
6.300000E+1	1.709777E-1	-1.268768E-1
6.400000E+1	1.768667E-1	2.553628E-1
6.500000E+1	-7.656852E-2	1.113892E-2
6.600000E+1	1.704560E-1	6.742547E-2
6.700000E+1	-7.176574E-2	1.593499E-1
6.800000E+1	3.919040E-2	-2.623795E-2
6.900000E+1	3.809082E-2	1.818521E-1
7.000000E+1	-8.641451E-2	1.676413E-2
7.100000E+1	8.315432E-2	8.373715E-2
7.200000E+1	-1.051498E-1	1.303307E-1
7.300000E+1	8.777248E-3	-4.880781E-3
7.400000E+1	-2.216181E-2	1.785353E-1
7.500000E+1	-1.158660E-1	1.866044E-2
7.600000E+1	4.235519E-2	1.127828E-1
7.700000E+1	-1.615196E-1	1.364063E-1
7.800000E+1	-1.894745E-2	1.365195E-2
7.900000E+1	-8.930854E-2	2.265912E-1
8.000000E+1	-1.790238E-1	2.419123E-2
8.100000E+1	-1.845858E-3	1.842390E-1
8.200000E+1	-2.944032E-1	1.961811E-1
8.300000E+1	-7.742392E-2	5.282502E-2
8.400000E+1	-2.513070E-1	4.273434E-1
8.500000E+1	-4.484670E-1	7.306971E-2
8.600000E+1	-1.351484E-1	5.735410E-1
8.700000E+1	-1.373522E+0	1.150122E+0
8.800000E+1	1.836172E+0	1.852073E+0
8.900000E+1	-7.639468E-2	1.748408E-1
9.000000E+1	2.100936E+0	9.222929E-1
9.100000E+1	4.070635E-1	-7.907394E-1
9.200000E+1	7.085236E-1	-2.040820E-1
9.300000E+1	1.329829E-1	-1.250709E-1
9.400000E+1	3.500328E-1	-2.988184E-1
9.500000E+1	2.277509E-1	-1.989661E-3
9.600000E+1	1.260975E-1	-2.047665E-1
9.700000E+1	2.654479E-1	-7.075589E-2
9.800000E+1	7.405624E-2	-6.442196E-2
9.900000E+1	1.909135E-1	-1.395507E-1
1.000000E+2	1.285225E-1	-3.021593E-3
1.010000E+2	9.198998E-2	-1.201235E-1
1.020000E+2	1.704193E-1	-3.677787E-2
1.030000E+2	5.831550E-2	-4.685483E-2
1.040000E+2	1.440775E-1	-8.744512E-2
1.050000E+2	9.590274E-2	-9.379287E-3
1.060000E+2	7.512922E-2	-9.259139E-2
1.070000E+2	1.255722E-1	-2.483385E-2
1.080000E+2	4.716747E-2	-4.145986E-2
1.090000E+2	1.141619E-1	-6.498082E-2
1.100000E+2	6.890288E-2	-4.962321E-3
1.110000E+2	6.995604E-2	-6.833576E-2
1.120000E+2	1.050538E-1	-1.471463E-2
1.130000E+2	4.472114E-2	-3.797967E-2
1.140000E+2	1.023920E-1	-4.834243E-2
1.150000E+2	5.963814E-2	-5.869908E-3
1.160000E+2	7.124812E-2	-6.125506E-2
1.170000E+2	8.897157E-2	-6.840392E-3
1.180000E+2	4.635401E-2	-4.136693E-2
1.190000E+2	1.170790E-1	-1.715905E-2
1.200000E+2	7.461004E-2	-8.226756E-2
1.210000E+2	1.465224E-2	-4.789572E-2
1.220000E+2	7.525758E-2	-1.965272E-2
1.230000E+2	3.047484E-2	-2.404210E-2
1.240000E+2	7.191575E-2	-3.936628E-2
1.250000E+2	4.832548E-2	-2.794239E-3
1.260000E+2	5.138672E-2	-4.357064E-2
1.270000E+2	7.315816E-2	-8.049824E-3
1.280000E+2	3.843884E-2	-2.487698E-2
1.290000E+2	7.716158E-2	-3.084303E-2
1.300000E+2	5.061281E-2	-4.556700E-3
1.310000E+2	5.989404E-2	-4.145544E-2
1.320000E+2	7.350279E-2	-9.213825E-3
1.330000E+2	4.441684E-2	-2.758651E-2
1.340000E+2	8.008685E-2	-3.060060E-2
1.350000E+2	5.299965E-2	-9.862773E-3
1.360000E+2	6.410367E-2	-4.233408E-2
1.370000E+2	7.497605E-2	-1.153464E-2
1.380000E+2	5.009109E-2	-3.141930E-2
1.390000E+2	8.370933E-2	-3.096876E-2
1.400000E+2	5.970728E-2	-1.481981E-2
1.410000E+2	7.139053E-2	-4.570018E-2
1.420000E+2	8.149186E-2	-1.423166E-2
