freq (Hz)	real	complex
0.000000E+0	-8.572833E-3	0.000000E+0
1.000000E+0	1.233190E-2	-6.286540E-3
2.000000E+0	-2.211647E-4	1.269102E-2
3.000000E+0	-4.286920E-4	-8.558410E-3
4.000000E+0	1.373013E-2	7.056308E-3
5.000000E+0	-1.258394E-2	1.518335E-2
6.000000E+0	4.036133E-2	-8.516087E-3
7.000000E+0	-8.788208E-3	1.146664E-3
8.000000E+0	4.225379E-3	-1.224235E-2
9.000000E+0	1.139198E-2	1.239026E-2
1.000000E+1	-6.627406E-3	-5.009860E-3
1.100000E+1	1.715997E-2	-9.027234E-4
1.200000E+1	-2.899387E-3	1.169475E-2
1.300000E+1	9.287007E-3	-1.082826E-2
1.400000E+1	1.395206E-2	1.217561E-2
1.500000E+1	-4.589904E-3	-7.129503E-3
1.600000E+1	1.908059E-2	-5.543233E-4
1.700000E+1	-2.105819E-3	1.015142E-2
1.800000E+1	1.267013E-2	-1.288064E-2
1.900000E+1	1.379502E-2	1.057607E-2
2.000000E+1	-4.186069E-3	-9.299826E-3
2.100000E+1	2.274717E-2	-4.758332E-4
2.200000E+1	-1.185571E-3	7.663197E-3
2.300000E+1	1.876914E-2	-1.626042E-2
2.400000E+1	2.044433E-2	7.476891E-3
2.500000E+1	1.356646E-3	-2.709795E-2
2.600000E+1	2.280638E-2	-1.079048E-2
2.700000E+1	-2.665967E-3	-1.541470E-2
2.800000E+1	-1.485350E-3	-4.271210E-2
2.900000E+1	-1.388195E-2	1.189339E-2
3.000000E+1	-6.251970E-3	-1.649625E-2
3.100000E+1	3.398312E-2	-1.237938E-2
3.200000E+1	-2.742009E-2	-5.630345E-2
3.300000E+1	-4.466850E-2	-2.677453E-2
3.400000E+1	-2.992069E-2	1.639923E-2
3.500000E+1	-3.873144E-2	-6.860483E-3
3.600000E+1	-5.015459E-3	1.262436E-2
3.700000E+1	-3.616799E-2	1.254566E-2
3.800000E+1	-7.693930E-3	-8.058614E-3
3.900000E+1	-2.065139E-2	2.762047E-2
4.000000E+1	-2.960699E-2	-7.899451E-3
4.100000E+1	-4.532180E-5	2.018631E-2
4.200000E+1	-4.040319E-2	1.624672E-2
4.300000E+1	-6.984513E-4	-1.544604E-3
4.400000E+1	-2.273405E-2	3.721420E-2
4.500000E+1	-2.701202E-2	-7.904436E-3
4.600000E+1	3.376026E-3	3.092326E-2
4.700000E+1	-4.626527E-2	1.765758E-2
4.800000E+1	4.929046E-3	2.901919E-3
4.900000E+1	-3.121696E-2	4.969941E-2
5.000000E+1	-2.729898E-2	-9.875285E-3
5.100000E+1	4.019128E-3	4.951511E-2
5.200000E+1	-6.171257E-2	2.073058E-2
5.300000E+1	1.453742E-2	1.413773E-2
5.400000E+1	-5.431145E-2	7.701722E-2
5.500000E+1	-3.064881E-2	-1.275305E-2
5.600000E+1	8.217211E-4	1.102837E-1
5.700000E+1	-1.199892E-1	3.629362E-2
5.800000E+1	6.588244E-2	9.012262E-2
5.900000E+1	-2.716542E-1	3.551079E-1
6.000000E+1	7.393349E-1	2.633659E-1
6.100000E+1	1.623019E-2	-4.030863E-1
6.200000E+1	7.777895E-2	-2.421837E-2
6.300000E+1	-5.540241E-2	-8.777712E-2
6.400000E+1	3.801161E-2	-5.038899E-2
6.500000E+1	-4.153785E-2	-1.935647E-2
6.600000E+1	-3.916820E-5	-5.361197E-2
6.700000E+1	-2.637862E-2	3.629184E-3
6.800000E+1	-3.108049E-2	-4.186493E-2
6.900000E+1	-9.559882E-3	9.895449E-3
7.000000E+1	-5.042709E-2	-2.075791E-2
