freq (Hz)	real	complex
0.000000E+0	1.257035E-2	0.000000E+0
1.000000E+0	-4.628342E-3	5.493666E-3
2.000000E+0	5.530009E-3	-7.343005E-3
3.000000E+0	8.721661E-3	1.459310E-2
4.000000E+0	1.082819E-4	2.950047E-3
5.000000E+0	6.109728E-2	9.247415E-3
6.000000E+0	9.856681E-3	-6.452097E-2
7.000000E+0	-1.653802E-2	-2.507505E-2
8.000000E+0	-9.898082E-3	-1.336963E-2
9.000000E+0	-1.247571E-2	-1.478174E-2
1.000000E+1	-4.602759E-3	-1.136200E-2
1.100000E+1	-1.243118E-2	-6.755966E-3
1.200000E+1	-5.543580E-3	-1.370239E-2
1.300000E+1	-5.615762E-3	-3.325503E-3
1.400000E+1	-1.029388E-2	-1.218226E-2
1.500000E+1	-4.538222E-4	-7.947620E-3
1.600000E+1	-1.076575E-2	-6.118881E-3
1.700000E+1	-3.193755E-3	-1.322028E-2
1.800000E+1	-3.327914E-3	-2.981707E-3
1.900000E+1	-8.585849E-3	-1.325068E-2
2.000000E+1	2.400102E-3	-9.842588E-3
2.100000E+1	-1.345263E-2	-7.885204E-3
2.200000E+1	-1.781094E-3	-1.099810E-2
2.300000E+1	-2.274058E-3	1.043769E-4
2.400000E+1	-2.758513E-3	-1.136746E-2
2.500000E+1	8.948892E-3	-5.435824E-3
2.600000E+1	-5.357259E-4	-6.583710E-3
2.700000E+1	1.615804E-2	-1.305442E-2
2.800000E+1	2.008424E-2	-5.335797E-3
2.900000E+1	3.126092E-2	-3.400126E-2
3.000000E+1	5.242284E-2	-5.094325E-2
3.100000E+1	-1.397452E-2	-1.338459E-1
3.200000E+1	-9.169496E-2	-4.533898E-2
3.300000E+1	-3.873751E-2	-1.313504E-2
3.400000E+1	-4.173578E-2	-1.412939E-2
3.500000E+1	-2.553684E-2	-1.423069E-2
3.600000E+1	-2.995147E-2	-7.926302E-3
3.700000E+1	-2.373122E-2	-1.484368E-2
3.800000E+1	-2.083733E-2	-5.944634E-3
3.900000E+1	-2.300249E-2	-1.179165E-2
4.000000E+1	-1.501837E-2	-9.748785E-3
4.100000E+1	-2.064049E-2	-7.829030E-3
4.200000E+1	-1.395304E-2	-1.170898E-2
4.300000E+1	-1.420885E-2	-7.621225E-3
4.400000E+1	-1.499523E-2	-1.210442E-2
4.500000E+1	-1.078897E-2	-8.769278E-3
4.600000E+1	-1.235493E-2	-1.079563E-2
4.700000E+1	-8.524184E-3	-1.024001E-2
4.800000E+1	-1.030483E-2	-1.078551E-2
4.900000E+1	-3.995222E-3	-1.061733E-2
5.000000E+1	-8.162009E-3	-8.728144E-3
5.100000E+1	1.151568E-3	-1.571183E-2
5.200000E+1	1.437071E-4	-3.212797E-3
5.300000E+1	-1.431924E-3	-2.069747E-2
5.400000E+1	2.335919E-2	-4.360704E-3
5.500000E+1	-5.505566E-3	-9.306875E-3
5.600000E+1	4.949500E-2	-3.219147E-2
5.700000E+1	3.195132E-2	3.346102E-2
5.800000E+1	4.928995E-2	-8.950407E-2
5.900000E+1	3.208586E-1	8.759950E-2
6.000000E+1	-5.342925E-3	-7.641996E-1
6.100000E+1	-4.108500E-1	1.172579E-1
6.200000E+1	-8.047138E-2	-1.258298E-1
6.300000E+1	-6.828637E-2	7.625115E-2
6.400000E+1	-1.297322E-1	-6.076830E-2
6.500000E+1	7.446641E-4	-5.528909E-3
6.600000E+1	-1.092618E-1	1.858027E-2
6.700000E+1	-2.473764E-2	-5.910391E-2
6.800000E+1	-3.299055E-2	3.983368E-2
6.900000E+1	-7.678736E-2	-5.338938E-2
7.000000E+1	1.092993E-2	-6.905093E-3
7.100000E+1	-8.343691E-2	3.752595E-3
7.200000E+1	-9.324753E-3	-6.115851E-2
7.300000E+1	-2.969936E-2	3.315868E-2
7.400000E+1	-6.447804E-2	-5.975761E-2
7.500000E+1	2.246224E-2	-5.073857E-3
7.600000E+1	-8.016477E-2	-3.124085E-3
7.700000E+1	9.946625E-3	-7.027757E-2
7.800000E+1	-2.470639E-2	3.742217E-2
7.900000E+1	-5.567254E-2	-8.210916E-2
8.000000E+1	5.004188E-2	-9.057099E-4
8.100000E+1	-8.905263E-2	-1.512749E-2
8.200000E+1	5.900188E-2	-9.702431E-2
8.300000E+1	-1.247871E-2	6.092002E-2
8.400000E+1	-2.144173E-2	-1.614315E-1
8.500000E+1	1.819663E-1	3.621210E-2
8.600000E+1	-1.032436E-1	-1.049189E-1
8.700000E+1	8.468867E-1	-2.913204E-1
8.800000E+1	-5.650664E-1	-1.575843E+0
8.900000E+1	-1.727806E+0	-1.952788E-2
9.000000E+1	-3.349879E-1	1.353708E+0
9.100000E+1	3.637370E-1	8.112266E-3
9.200000E+1	-4.534928E-2	2.394467E-1
9.300000E+1	-1.778421E-2	-4.977511E-2
9.400000E+1	2.987409E-2	1.138687E-1
9.500000E+1	-9.237107E-2	1.202919E-2
9.600000E+1	2.314429E-2	1.683641E-2
9.700000E+1	-6.698770E-2	5.812335E-2
9.800000E+1	-2.835038E-2	-2.026774E-2
9.900000E+1	-2.311242E-2	5.001403E-2
1.000000E+2	-6.325304E-2	-1.302421E-3
1.010000E+2	-9.461446E-3	1.287437E-2
1.020000E+2	-5.783695E-2	2.513396E-2
1.030000E+2	-2.944296E-2	-1.051972E-2
1.040000E+2	-3.476292E-2	2.739483E-2
1.050000E+2	-5.224383E-2	-3.275928E-3
1.060000E+2	-2.081817E-2	1.222470E-2
1.070000E+2	-5.047161E-2	1.173147E-2
1.080000E+2	-2.799450E-2	-4.802398E-3
1.090000E+2	-3.650387E-2	1.532799E-2
1.100000E+2	-4.180103E-2	-7.792962E-3
1.110000E+2	-3.046011E-2	5.735683E-3
1.120000E+2	-4.744412E-2	4.588835E-3
