freq (Hz)	magnitude
1.990000E+2	3.832630E+0
2.000000E+2	9.604569E-1
2.010000E+2	1.008150E+0
2.020000E+2	3.320769E-1
2.030000E+2	5.143719E-1
2.040000E+2	3.596852E-1
2.050000E+2	2.269990E-1
2.060000E+2	3.483319E-1
2.070000E+2	1.402815E-1
2.080000E+2	2.517259E-1
2.090000E+2	1.919047E-1
2.100000E+2	1.361138E-1
2.110000E+2	2.111223E-1
2.120000E+2	8.735704E-2
2.130000E+2	1.708591E-1
2.140000E+2	1.389726E-1
2.150000E+2	1.079813E-1
2.160000E+2	1.616423E-1
2.170000E+2	6.878018E-2
2.180000E+2	1.341630E-1
2.190000E+2	1.018084E-1
2.200000E+2	8.145871E-2
2.210000E+2	1.255117E-1
2.220000E+2	5.448905E-2
2.230000E+2	1.101408E-1
2.240000E+2	8.458909E-2
2.250000E+2	6.909998E-2
2.260000E+2	1.052628E-1
2.270000E+2	4.687414E-2
2.280000E+2	9.298149E-2
2.290000E+2	6.922505E-2
2.300000E+2	5.011515E-2
2.310000E+2	9.432712E-2
2.320000E+2	4.334451E-2
2.330000E+2	8.532244E-2
2.340000E+2	7.067304E-2
2.350000E+2	5.443464E-2
2.360000E+2	8.878310E-2
2.370000E+2	4.091477E-2
2.380000E+2	8.014240E-2
2.390000E+2	6.775790E-2
2.400000E+2	5.591049E-2
2.410000E+2	8.079525E-2
2.420000E+2	3.876565E-2
2.430000E+2	7.377752E-2
2.440000E+2	6.015233E-2
2.450000E+2	4.807125E-2
2.460000E+2	7.790212E-2
2.470000E+2	4.127482E-2
2.480000E+2	7.163640E-2
2.490000E+2	6.138782E-2
2.500000E+2	4.797716E-2
2.510000E+2	7.623782E-2
2.520000E+2	3.950322E-2
2.530000E+2	6.922560E-2
2.540000E+2	6.112526E-2
2.550000E+2	4.696336E-2
2.560000E+2	7.450486E-2
2.570000E+2	3.815254E-2
2.580000E+2	6.904553E-2
2.590000E+2	6.203160E-2
2.600000E+2	4.598183E-2
2.610000E+2	7.683762E-2
2.620000E+2	3.959889E-2
2.630000E+2	6.956395E-2
2.640000E+2	6.379693E-2
2.650000E+2	4.631492E-2
2.660000E+2	7.915795E-2
2.670000E+2	4.096281E-2
2.680000E+2	7.210499E-2
2.690000E+2	6.515629E-2
2.700000E+2	4.969365E-2
2.710000E+2	8.232543E-2
2.720000E+2	4.313207E-2
2.730000E+2	7.390990E-2
2.740000E+2	7.140370E-2
2.750000E+2	4.981835E-2
2.760000E+2	8.834245E-2
2.770000E+2	4.995500E-2
2.780000E+2	7.985181E-2
