freq (Hz)	real	complex
0.000000E+0	-9.916060E-3	0.000000E+0
1.000000E+0	8.385382E-3	-5.169210E-3
2.000000E+0	-9.203223E-4	1.859625E-2
3.000000E+0	2.777421E-3	-1.195060E-2
4.000000E+0	1.378675E-2	-3.929986E-4
5.000000E+0	-7.316122E-2	-1.607875E-2
6.000000E+0	-8.880401E-3	1.099298E-1
7.000000E+0	5.556270E-2	3.959017E-2
8.000000E+0	3.490626E-2	2.254348E-2
9.000000E+0	4.019228E-2	1.440954E-2
1.000000E+1	2.853953E-2	1.561960E-2
1.100000E+1	3.466642E-2	5.933253E-3
1.200000E+1	3.194699E-2	1.532112E-2
1.300000E+1	2.827362E-2	4.320362E-3
1.400000E+1	3.772129E-2	8.966939E-3
1.500000E+1	2.737424E-2	8.799729E-3
1.600000E+1	3.670736E-2	-5.242289E-4
1.700000E+1	3.367899E-2	9.835123E-3
1.800000E+1	3.092294E-2	-2.522451E-3
1.900000E+1	4.173363E-2	9.176580E-4
2.000000E+1	3.036426E-2	-6.361887E-3
2.100000E+1	2.135479E-2	-1.455309E-2
2.200000E+1	2.628990E-2	1.422871E-2
2.300000E+1	2.427594E-2	-2.370092E-3
2.400000E+1	4.241199E-2	5.701341E-3
2.500000E+1	2.808551E-2	3.382810E-4
2.600000E+1	3.503232E-2	-7.542562E-3
2.700000E+1	4.054816E-2	1.382703E-2
2.800000E+1	4.438331E-2	-9.402097E-3
2.900000E+1	6.720666E-2	-1.287913E-2
3.000000E+1	5.140894E-2	-2.994032E-2
3.100000E+1	5.934453E-2	-9.916004E-2
3.200000E+1	-6.912035E-2	-6.232970E-2
3.300000E+1	-2.185816E-2	1.310274E-2
3.400000E+1	-3.546056E-3	1.544283E-3
3.500000E+1	-1.575709E-3	1.116087E-2
3.600000E+1	6.405247E-3	5.508867E-3
3.700000E+1	1.330812E-2	1.476716E-2
3.800000E+1	1.069241E-2	4.754375E-3
3.900000E+1	1.909586E-2	7.889521E-3
4.000000E+1	1.163823E-2	1.071878E-2
4.100000E+1	1.809198E-2	4.089970E-3
4.200000E+1	1.840731E-2	1.494861E-2
4.300000E+1	1.606908E-2	5.986334E-3
4.400000E+1	2.367164E-2	1.113634E-2
4.500000E+1	1.575863E-2	1.223987E-2
4.600000E+1	2.343536E-2	8.182326E-3
4.700000E+1	2.025241E-2	1.696841E-2
4.800000E+1	2.112724E-2	9.592097E-3
4.900000E+1	2.517079E-2	1.784741E-2
5.000000E+1	1.866454E-2	1.407648E-2
5.100000E+1	2.853034E-2	1.892404E-2
5.200000E+1	1.689533E-2	2.251054E-2
5.300000E+1	3.049492E-2	1.861460E-2
5.400000E+1	1.982180E-2	3.971100E-2
5.500000E+1	2.155448E-2	1.775129E-2
5.600000E+1	4.099393E-2	6.358391E-2
5.700000E+1	-1.345210E-2	4.523896E-2
5.800000E+1	8.657043E-2	7.046749E-2
5.900000E+1	-9.151461E-2	2.919468E-1
6.000000E+1	6.876506E-1	1.051131E-1
6.100000E+1	-3.224548E-2	-3.498916E-1
6.200000E+1	1.501147E-1	-3.717553E-2
6.300000E+1	-3.568393E-2	-4.589325E-2
6.400000E+1	9.983829E-2	-9.154684E-2
6.500000E+1	3.924837E-2	2.685654E-2
6.600000E+1	2.856662E-2	-8.467478E-2
6.700000E+1	1.020064E-1	-1.331360E-3
6.800000E+1	1.680497E-3	-2.182893E-2
6.900000E+1	9.362697E-2	-6.164488E-2
7.000000E+1	4.564769E-2	2.912979E-2
7.100000E+1	3.646154E-2	-6.982577E-2
7.200000E+1	1.098309E-1	7.205846E-3
7.300000E+1	9.158783E-3	-1.224415E-2
7.400000E+1	1.126304E-1	-5.741128E-2
7.500000E+1	6.195213E-2	4.249057E-2
7.600000E+1	5.244428E-2	-7.487465E-2
7.700000E+1	1.454113E-1	1.653014E-2
7.800000E+1	2.139639E-2	-5.936307E-3
7.900000E+1	1.602211E-1	-7.119802E-2
8.000000E+1	1.006841E-1	7.050899E-2
8.100000E+1	8.630121E-2	-1.034465E-1
8.200000E+1	2.472787E-1	3.105006E-2
8.300000E+1	5.006577E-2	7.560190E-3
8.400000E+1	3.182787E-1	-1.382038E-1
8.500000E+1	2.663513E-1	1.760398E-1
8.600000E+1	2.306786E-1	-2.672160E-1
8.700000E+1	1.288692E+0	-1.802810E-2
8.800000E+1	-5.442550E-1	-1.578822E+0
8.900000E+1	7.682208E-1	1.860052E-1
9.000000E+1	-9.204634E-1	-1.851478E+0
9.100000E+1	-5.559136E-1	3.710877E-1
9.200000E+1	-5.527261E-1	-1.945885E-1
9.300000E+1	-8.957052E-2	4.094845E-3
9.400000E+1	-3.344272E-1	6.719958E-2
9.500000E+1	-1.365826E-1	-1.138768E-1
9.600000E+1	-1.263221E-1	8.808050E-2
9.700000E+1	-2.012413E-1	-5.487034E-2
9.800000E+1	-4.373159E-2	-3.597966E-3
9.900000E+1	-1.623565E-1	3.475502E-2
1.000000E+2	-7.968778E-2	-6.202341E-2
1.010000E+2	-7.357222E-2	4.905558E-2
1.020000E+2	-1.265066E-1	-3.418368E-2
1.030000E+2	-3.197709E-2	-3.279475E-3
1.040000E+2	-1.111112E-1	2.343598E-2
1.050000E+2	-5.732172E-2	-4.067265E-2
1.060000E+2	-5.324490E-2	3.553093E-2
1.070000E+2	-9.161002E-2	-2.390461E-2
1.080000E+2	-2.411998E-2	-3.572757E-3
1.090000E+2	-8.645007E-2	1.812342E-2
1.100000E+2	-4.312738E-2	-3.252765E-2
1.110000E+2	-4.710034E-2	2.916432E-2
1.120000E+2	-7.180528E-2	-1.724096E-2
1.130000E+2	-1.979519E-2	1.448306E-3
1.140000E+2	-6.849406E-2	1.384924E-2
1.150000E+2	-3.430006E-2	-2.405884E-2
1.160000E+2	-3.737543E-2	2.463160E-2
1.170000E+2	-5.986840E-2	-1.565363E-2
1.180000E+2	-1.489554E-2	5.086796E-3
1.190000E+2	-6.318501E-2	1.510066E-2
1.200000E+2	-7.545035E-3	-5.991493E-3
1.210000E+2	-2.121408E-2	2.819174E-3
1.220000E+2	-4.432735E-2	-2.430705E-2
1.230000E+2	-1.983221E-2	-7.860706E-3
1.240000E+2	-5.187107E-2	8.649800E-4
1.250000E+2	-2.813997E-2	-1.784444E-2
1.260000E+2	-3.083297E-2	1.284945E-2
1.270000E+2	-4.199715E-2	-1.460682E-2
1.280000E+2	-1.549389E-2	-7.294380E-5
1.290000E+2	-4.303676E-2	2.143585E-3
1.300000E+2	-2.081247E-2	-1.605857E-2
1.310000E+2	-2.701448E-2	1.070608E-2
1.320000E+2	-3.474420E-2	-1.516769E-2
1.330000E+2	-1.260447E-2	-4.431303E-5
1.340000E+2	-3.759174E-2	-9.972826E-4
1.350000E+2	-1.577696E-2	-1.487257E-2
1.360000E+2	-2.385173E-2	8.252577E-3
1.370000E+2	-2.754028E-2	-1.578240E-2
1.380000E+2	-8.230933E-3	4.331520E-4
1.390000E+2	-2.974112E-2	-4.361557E-3
1.400000E+2	-6.488013E-3	-1.495795E-2
1.410000E+2	-1.646967E-2	2.828591E-3
1.420000E+2	-1.564905E-2	-2.213058E-2
1.430000E+2	-3.739802E-3	-5.154375E-3
1.440000E+2	-1.934228E-2	-1.046098E-2
1.450000E+2	4.507034E-3	-2.025763E-2
1.460000E+2	-5.259172E-3	-3.061789E-3
1.470000E+2	5.292038E-3	-2.856633E-2
1.480000E+2	2.405574E-2	-1.667902E-2
1.490000E+2	1.090504E-2	-3.720088E-2
1.500000E+2	4.287096E-2	-5.669466E-2
1.510000E+2	1.996445E-2	-5.930709E-2
1.520000E+2	3.393495E-2	-9.515116E-2
1.530000E+2	5.576672E-2	-1.011695E-1
1.540000E+2	3.164469E-2	-1.876966E-1
1.550000E+2	-2.658503E-4	-2.868212E-1
1.560000E+2	-2.704269E-1	-2.697984E-1
1.570000E+2	-2.475142E-1	-5.073444E-2
1.580000E+2	-1.791599E-1	-2.870740E-2
1.590000E+2	-1.668103E-1	-1.768515E-2
1.600000E+2	-1.341068E-1	-8.925294E-3
1.610000E+2	-1.353164E-1	-5.471493E-4
1.620000E+2	-1.178756E-1	-2.060062E-2
1.630000E+2	-1.210580E-1	4.063155E-3
1.640000E+2	-1.253297E-1	-1.495172E-2
1.650000E+2	-1.050612E-1	-2.021169E-3
1.660000E+2	-1.293915E-1	-2.560311E-3
1.670000E+2	-1.148757E-1	-1.587464E-2
1.680000E+2	-1.233465E-1	1.933423E-2
1.690000E+2	-1.291902E-1	-8.434258E-3
1.700000E+2	-1.031570E-1	1.590077E-2
1.710000E+2	-1.386628E-1	1.104645E-2
1.720000E+2	-1.064030E-1	-4.707614E-3
1.730000E+2	-1.309498E-1	3.431990E-2
1.740000E+2	-1.376390E-1	-5.841321E-3
1.750000E+2	-9.968571E-2	5.935438E-2
1.760000E+2	-1.122355E-1	-1.029709E-2
1.770000E+2	-1.404877E-1	-7.762809E-3
1.780000E+2	-1.487905E-1	3.680195E-2
1.790000E+2	-1.928517E-1	9.275880E-2
1.800000E+2	7.654872E-2	6.315259E-2
1.810000E+2	-1.841818E-1	-9.544208E-2
1.820000E+2	-9.461608E-2	-3.311251E-2
1.830000E+2	-1.980093E-1	2.438325E-2
1.840000E+2	-1.698900E-1	-6.887248E-2
1.850000E+2	-1.558136E-1	4.390460E-2
1.860000E+2	-2.614032E-1	-2.667184E-2
1.870000E+2	-1.489006E-1	-1.718448E-2
1.880000E+2	-2.807494E-1	6.571736E-2
1.890000E+2	-2.475065E-1	-8.500899E-2
1.900000E+2	-2.271677E-1	8.737839E-2
1.910000E+2	-4.238502E-1	-3.706037E-2
1.920000E+2	-2.335751E-1	-2.515986E-2
1.930000E+2	-5.277656E-1	1.407750E-1
1.940000E+2	-4.957457E-1	-1.846571E-1
1.950000E+2	-5.069089E-1	2.542098E-1
1.960000E+2	-1.230572E+0	-8.472612E-2
1.970000E+2	-8.151338E-1	-4.934535E-2
1.980000E+2	-4.176102E+0	2.349940E+0
1.990000E+2	2.843126E+0	4.872649E+0
2.000000E+2	1.641239E+0	-2.691601E-1
2.010000E+2	1.407365E+0	3.505880E-1
2.020000E+2	4.334359E-1	6.302971E-2
2.030000E+2	7.561788E-1	-1.273713E-1
2.040000E+2	4.029095E-1	2.042707E-1
2.050000E+2	3.187371E-1	-1.450094E-1
2.060000E+2	4.635641E-1	8.893145E-2
2.070000E+2	1.544150E-1	1.039378E-2
2.080000E+2	3.558876E-1	-7.519188E-2
2.090000E+2	2.040144E-1	1.132237E-1
2.100000E+2	1.753309E-1	-9.743203E-2
2.110000E+2	2.803688E-1	5.922090E-2
2.120000E+2	8.843172E-2	5.761922E-3
2.130000E+2	2.436021E-1	-5.075322E-2
2.140000E+2	1.383095E-1	8.441911E-2
2.150000E+2	1.346447E-1	-7.598825E-2
2.160000E+2	2.136214E-1	3.375326E-2
2.170000E+2	5.845263E-2	-1.161205E-2
2.180000E+2	1.820581E-1	-5.215051E-2
2.190000E+2	9.221981E-2	6.045732E-2
2.200000E+2	9.198325E-2	-6.693314E-2
2.210000E+2	1.613705E-1	3.533935E-2
2.220000E+2	4.046992E-2	-6.745808E-3
2.230000E+2	1.494131E-1	-4.274015E-2
2.240000E+2	7.196867E-2	5.217371E-2
2.250000E+2	7.346829E-2	-6.207112E-2
2.260000E+2	1.324566E-1	2.911287E-2
2.270000E+2	2.359252E-2	-9.753789E-3
2.280000E+2	1.219097E-1	-3.971414E-2
2.290000E+2	4.662132E-2	4.384334E-2
2.300000E+2	3.919446E-2	-4.841920E-2
2.310000E+2	1.102189E-1	5.282114E-2
